supplier,date,type,order,bodega,sku,description,quantity,unit,unit_price,sell_value,tax,tax_value
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-14,FC,28266,1,7704987009249,TINTE IRIS,12,UND,1716,20588,0.19,3912
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-14,FC,28266,1,5210,CANDELA CON EXTENSOR,25,UND,2286,57143,0.19,10857
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-14,FC,28266,1,7453088046287,SUPER GLUE *10G,12,UND,575,6900,0,0
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-14,FC,28266,1,6984240170102,CINTA NEGRA AISLANTE,10,UND,886,8858,0,0
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-14,FC,28266,1,6946614108821,PEGANTE SMATPEGA *5GR,12,UND,263,3156,0.19,600
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-28,FC,29552,1,985,PEINETA PEQUEÑA,12,UND,98,1180,0.19,224
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-28,FC,29552,1,909,PEINETA SACA PIOJOS,12,UND,280,3361,0.19,639
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-28,FC,29552,1,419,VELA VOLCAN,12,UND,801,9608,0.19,1826
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-28,FC,29552,1,669,PEINETA MACHETE,12,UND,462,5546,0.19,1054
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-28,FC,29552,1,8801038562445,MAQUINA DE AFEITAR DORCO NEGRA,24,UND,371,8898,0.19,1691
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-28,FC,29552,1,322,CINTA TRANSPARENTE ANCHA 25MTS,12,UND,1875,22500,0,0
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-28,FC,29552,1,7453088046287,SUPER GLUE *10G,24,UND,575,13800,0,0
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-28,FC,29552,1,7704987009249,TINTE IRIS,12,UND,1716,20592,0.19,3912
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-28,FC,29552,1,6946614108821,PEGANTE SMATPEGA *5GR,12,UND,263,3156,0.19,600
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-28,FC,29552,1,7707340299547,CINTA DE ENMASCARAR 18X20,12,UND,1555,18655,0.19,3544
CAMILO ANDRES JARAMILLO GORDILLO,2022-01-28,FC,29552,1,3577,PEINETA COLA DE RATON,12,UND,717,8600,0,0
CAMILO ANDRES JARAMILLO GORDILLO,2022-02-10,FC,30854,1,8801038200026,CUCHILLA EN HOJA X 5 DORCO,12,UND,783,9392,0.19,1784
CAMILO ANDRES JARAMILLO GORDILLO,2022-02-10,FC,30854,1,8801038562445,MAQUINA DE AFEITAR DORCO NEGRA,24,UND,371,8894,0.19,1690
CAMILO ANDRES JARAMILLO GORDILLO,2022-02-10,FC,30854,1,7453088046287,SUPER GLUE *10G,12,UND,604,7250,0,0
CAMILO ANDRES JARAMILLO GORDILLO,2022-02-10,FC,30854,1,8435314881533,GUANTE DE NITRILO,12,UND,2240,26884,0.19,5108
CAMILO ANDRES JARAMILLO GORDILLO,2022-02-10,FC,30854,1,6946614108821,PEGANTE SMATPEGA *5GR,12,UND,263,3156,0.19,600
CAMILO ANDRES JARAMILLO GORDILLO,2022-02-10,FC,30854,1,8697433100944,GUANTES,12,UND,1600,19200,0,0
